Team,W,L,FTr,eFG%,TOV%,ORB%,FT/FGA,Season,WinR
Oklahoma City Thunder,46,11,0.214,0.551,10.5,24.8,0.176,2024-25,0.807017544
Cleveland Cavaliers,48,10,0.234,0.588,11.7,25.4,0.183,2024-25,0.827586207
Boston Celtics,42,16,0.221,0.56,10.7,24.3,0.176,2024-25,0.724137931
Memphis Grizzlies,38,20,0.263,0.558,13.6,29.5,0.203,2024-25,0.655172414
Denver Nuggets,38,20,0.254,0.575,12.5,27.1,0.198,2024-25,0.655172414
New York Knicks,37,20,0.237,0.564,11.8,25.9,0.191,2024-25,0.649122807
Houston Rockets,36,22,0.25,0.511,11.8,31.1,0.187,2024-25,0.620689655
Minnesota Timberwolves,32,27,0.251,0.544,13.4,25.9,0.2,2024-25,0.542372881
Los Angeles Clippers,31,26,0.249,0.54,14.1,24.7,0.198,2024-25,0.543859649
Golden State Warriors,31,27,0.226,0.53,12,27.3,0.167,2024-25,0.534482759
Dallas Mavericks,31,28,0.261,0.551,12.6,25.1,0.202,2024-25,0.525423729
Milwaukee Bucks,32,25,0.253,0.561,12.4,19.5,0.188,2024-25,0.561403509
Los Angeles Lakers,35,21,0.269,0.554,12.6,22.5,0.213,2024-25,0.625
Detroit Pistons,32,26,0.234,0.545,13.5,26.4,0.183,2024-25,0.551724138
Sacramento Kings,29,28,0.241,0.544,11.9,25.3,0.195,2024-25,0.50877193
Indiana Pacers,32,24,0.245,0.56,12,21.3,0.193,2024-25,0.571428571
Miami Heat,26,30,0.247,0.532,12.4,22.1,0.196,2024-25,0.464285714
Orlando Magic,29,31,0.27,0.501,13.1,25.5,0.206,2024-25,0.483333333
San Antonio Spurs,24,32,0.238,0.536,12.6,24.2,0.186,2024-25,0.428571429
Atlanta Hawks,27,31,0.263,0.533,13.4,25.8,0.202,2024-25,0.465517241
Phoenix Suns,27,31,0.259,0.557,12.7,21.5,0.208,2024-25,0.465517241
Chicago Bulls,23,35,0.209,0.549,13,21.4,0.168,2024-25,0.396551724
Portland Trail Blazers,25,33,0.247,0.522,14,27.8,0.19,2024-25,0.431034483
Philadelphia 76ers,20,37,0.266,0.526,12.3,22.9,0.21,2024-25,0.350877193
Toronto Raptors,18,40,0.237,0.531,13.6,26.2,0.177,2024-25,0.310344828
Brooklyn Nets,21,36,0.244,0.518,14.1,24.6,0.193,2024-25,0.368421053
Utah Jazz,14,43,0.261,0.538,15.1,28,0.204,2024-25,0.245614035
Charlotte Hornets,14,43,0.226,0.5,13.6,27.3,0.176,2024-25,0.245614035
New Orleans Pelicans,15,43,0.251,0.515,12.5,26,0.193,2024-25,0.25862069
Washington Wizards,10,47,0.231,0.511,14,23,0.18,2024-25,0.175438596
Boston Celtics,64,18,0.224,0.578,10.8,24.9,0.18,2023-24,0.780487805
Oklahoma City Thunder,57,25,0.24,0.573,11.4,21.1,0.198,2023-24,0.695121951
Minnesota Timberwolves,56,26,0.27,0.559,13,23.2,0.209,2023-24,0.682926829
Denver Nuggets,57,25,0.224,0.562,11.5,25.5,0.17,2023-24,0.695121951
New York Knicks,50,32,0.246,0.54,11.9,29.4,0.192,2023-24,0.609756098
New Orleans Pelicans,49,33,0.261,0.558,11.8,24.4,0.202,2023-24,0.597560976
Los Angeles Clippers,51,31,0.256,0.561,12,24.4,0.211,2023-24,0.62195122
Philadelphia 76ers,47,35,0.264,0.532,10.7,24.8,0.218,2023-24,0.573170732
Phoenix Suns,49,33,0.271,0.565,13.4,25,0.219,2023-24,0.597560976
Indiana Pacers,47,35,0.222,0.578,11.3,23.8,0.173,2023-24,0.573170732
Golden State Warriors,46,36,0.219,0.557,12.5,27.5,0.171,2023-24,0.56097561
Milwaukee Bucks,49,33,0.27,0.568,11.5,21.8,0.209,2023-24,0.597560976
Cleveland Cavaliers,48,34,0.234,0.557,12.4,23.2,0.179,2023-24,0.585365854
Dallas Mavericks,50,32,0.251,0.562,11.2,22.2,0.19,2023-24,0.609756098
Orlando Magic,47,35,0.287,0.541,13.3,25.3,0.218,2023-24,0.573170732
Miami Heat,46,36,0.257,0.538,11.7,21.8,0.21,2023-24,0.56097561
Sacramento Kings,46,36,0.229,0.556,11.6,24.5,0.171,2023-24,0.56097561
Houston Rockets,41,41,0.257,0.529,11.2,25.1,0.199,2023-24,0.5
Los Angeles Lakers,47,35,0.276,0.566,12.5,19.9,0.216,2023-24,0.573170732
Chicago Bulls,39,43,0.236,0.534,11,25.1,0.187,2023-24,0.475609756
Atlanta Hawks,36,46,0.251,0.539,11.6,27.1,0.2,2023-24,0.43902439
Brooklyn Nets,32,50,0.234,0.531,11.8,25.2,0.177,2023-24,0.390243902
Utah Jazz,31,51,0.251,0.539,13.6,28.1,0.209,2023-24,0.37804878
San Antonio Spurs,22,60,0.22,0.532,13.2,22.9,0.172,2023-24,0.268292683
Toronto Raptors,25,57,0.241,0.535,12.4,24.2,0.182,2023-24,0.304878049
Memphis Grizzlies,27,55,0.238,0.509,13.4,23.8,0.182,2023-24,0.329268293
Detroit Pistons,14,68,0.246,0.526,13.5,23.9,0.193,2023-24,0.170731707
Washington Wizards,15,67,0.221,0.538,12.2,20,0.169,2023-24,0.182926829
Portland Trail Blazers,21,61,0.228,0.503,13.4,27.5,0.181,2023-24,0.256097561
Charlotte Hornets,21,61,0.212,0.529,12.6,21.1,0.167,2023-24,0.256097561
Boston Celtics,57,25,0.243,0.566,12,22.1,0.197,2022-23,0.695121951
Cleveland Cavaliers,51,31,0.264,0.556,12.3,23.6,0.206,2022-23,0.62195122
Philadelphia 76ers,54,28,0.3,0.563,12.6,21.6,0.25,2022-23,0.658536585
Memphis Grizzlies,51,31,0.259,0.54,11.7,26.5,0.19,2022-23,0.62195122
Milwaukee Bucks,58,24,0.248,0.555,12.7,25,0.184,2022-23,0.707317073
Denver Nuggets,53,29,0.259,0.573,13.1,24.8,0.194,2022-23,0.646341463
New York Knicks,47,35,0.285,0.541,11.4,28.3,0.217,2022-23,0.573170732
Sacramento Kings,48,34,0.284,0.572,12,22.7,0.225,2022-23,0.585365854
Phoenix Suns,45,37,0.241,0.535,12,26.6,0.191,2022-23,0.548780488
New Orleans Pelicans,42,40,0.279,0.543,12.9,24.7,0.221,2022-23,0.512195122
Golden State Warriors,44,38,0.224,0.571,14.1,24.4,0.178,2022-23,0.536585366
Toronto Raptors,41,41,0.257,0.517,10.3,27.8,0.201,2022-23,0.5
Chicago Bulls,40,42,0.251,0.55,12.2,20.1,0.203,2022-23,0.487804878
Oklahoma City Thunder,40,42,0.256,0.531,11.2,24.7,0.207,2022-23,0.487804878
Brooklyn Nets,45,37,0.26,0.562,12.7,19.6,0.208,2022-23,0.548780488
Los Angeles Lakers,43,39,0.299,0.542,12.3,22.8,0.232,2022-23,0.524390244
Los Angeles Clippers,44,38,0.278,0.551,12.8,22.9,0.217,2022-23,0.536585366
Atlanta Hawks,41,41,0.244,0.541,11.2,25.1,0.2,2022-23,0.5
Dallas Mavericks,38,44,0.298,0.565,11.4,18,0.225,2022-23,0.463414634
Minnesota Timberwolves,42,40,0.271,0.56,13.6,21.5,0.205,2022-23,0.512195122
Miami Heat,44,38,0.27,0.53,12.4,22.8,0.224,2022-23,0.536585366
Utah Jazz,37,45,0.265,0.547,13.3,26.8,0.209,2022-23,0.451219512
Washington Wizards,35,47,0.258,0.55,12.7,22.6,0.202,2022-23,0.426829268
Orlando Magic,34,48,0.29,0.532,13.4,23.8,0.227,2022-23,0.414634146
Indiana Pacers,35,47,0.265,0.545,13,23.4,0.209,2022-23,0.426829268
Portland Trail Blazers,33,49,0.289,0.549,13.1,22.4,0.23,2022-23,0.402439024
Charlotte Hornets,27,55,0.261,0.516,12.3,23.8,0.195,2022-23,0.329268293
Houston Rockets,22,60,0.285,0.516,14,30.2,0.215,2022-23,0.268292683
Detroit Pistons,17,65,0.295,0.52,13.3,24.9,0.227,2022-23,0.207317073
San Antonio Spurs,22,60,0.229,0.525,13,25.6,0.17,2022-23,0.268292683
